Title,Genre1,day,month,year,Runtime,IMDB Score,Language
The Polka King,Comedy,12,1,2018,95,5.9,English
The Prom,Musical,11,12,2020,132,5.9,English
True Memoirs of an International Assassin,Action comedy,11,11,2016,98,5.9,English
Ultras,Sports film,20,3,2020,108,5.9,Italian
A California Christmas,Romantic,14,12,2020,107,5.8,English
A Christmas Prince,Romantic,17,11,2017,92,5.8,English
All Day and a Night,Drama,1,5,2020,121,5.8,English
American Son,Drama,1,11,2019,90,5.8,English
Barry,Biopic,16,12,2016,104,5.8,English
Candy Jar,Comedy,27,4,2018,92,5.8,English
Choked: Paisa Bolta Hai,Drama,5,6,2020,114,5.8,Hindi
Class of '83,Drama,21,8,2020,98,5.8,Hindi
Extinction,Science fiction,27,7,2018,95,5.8,English
Happy Anniversary,Romantic,30,3,2018,78,5.8,English
I Am All Girls,Thriller,14,5,2021,107,5.8,English
Let It Snow,Romantic,8,11,2019,92,5.8,English
Mascots,Mockumentary,13,10,2016,95,5.8,English
Operation Christmas Drop,Romantic,5,11,2020,96,5.8,English
Rajma Chawal,Comedy,30,11,2018,118,5.8,Hindi
Rich in Love,Romantic comedy,30,4,2020,105,5.8,Portuguese
Rising High,Satire,17,4,2020,94,5.8,German
Rodney King,One-man show,28,4,2017,52,5.8,English
Sierra Burgess Is a Loser,Romantic comedy-drama,7,9,2018,105,5.8,English
Small Crimes,Dark comedy,28,4,2017,95,5.8,English
Special Correspondents,Satire,29,4,2016,100,5.8,English
TAU,Science fiction,29,6,2018,97,5.8,English
The After Party,Comedy,24,8,2018,89,5.8,English
The Babysitter: Killer Queen,Comedy,10,9,2020,102,5.8,English
The Claus Family,Fantasy,7,12,2020,96,5.8,Dutch
The Kissing Booth 2,Romantic,24,7,2020,131,5.8,English
The Perfect Date,Romantic,12,4,2019,89,5.8,English
What We Wanted,Drama,11,11,2020,93,5.8,German
You've Got This,Romantic,2,10,2020,111,5.8,Spanish
A Week Away,Christian musical,26,3,2021,97,5.7,English
Caught by a Wave,Romantic,25,3,2021,99,5.7,Italian
Christmas Inheritance,Romantic,15,12,2017,104,5.7,English
Dad Wanted,Family,11,9,2020,102,5.7,Spanish
El Camino Christmas,Dark comedy,8,12,2017,89,5.7,English
Eli,Horror,18,10,2019,98,5.7,English
Ginny Weds Sunny,Romantic,9,10,2020,125,5.7,Hindi
Good Sam,Drama,16,5,2019,89,5.7,English
Lionheart,Comedy,4,1,2019,94,5.7,English
Little Evil,Comedy,1,9,2017,94,5.7,English
One Take,Documentary,18,6,2020,85,5.7,Thai
"Out of Many, One",Documentary,12,12,2018,34,5.7,English
Point Blank,Action,12,7,2019,86,5.7,English
Prime Time,Thriller,14,4,2021,91,5.7,Polish
The Do-Over,comedy,27,5,2016,108,5.7,English
The Holiday Calendar,Romantic,2,11,2018,95,5.7,English
The Woman in the Window,Psychological thriller,14,5,2021,100,5.7,English
The Wrong Missy,Comedy,13,5,2020,90,5.7,English
Velvet Buzzsaw,Thriller,1,2,2019,112,5.7,English
Yes Day,Comedy,12,3,2021,86,5.7,English
Bomb Scared,Black comedy,12,10,2017,89,5.6,Spanish
Brahman Naman,Comedy,7,7,2016,95,5.6,English
Double Dad,Comedy,15,1,2021,103,5.6,Portuguese
Falling Inn Love,Romantic,29,8,2019,97,5.6,English
Hold the Dark,Thriller,28,9,2018,125,5.6,English
"Love, Guaranteed",Romantic,3,9,2020,91,5.6,English
